ID,physicalActivity,physicalActivityPerMonth,volunteerParticipation,volunteerPerMonth,ttcTransportation,walkTransportation,driveTransportation,cycleTransportation,taxiTransportation,communityRideTransportation,wheelTransTransportation,friendsTransportation,difficultFinancial,supportSystem,postalCode,employmentStatus,sex,primaryLanguage,ageRange,minAgeRange
3125,At least once a day,30,At least once a month,1,1,1,,,1,,,1,No,Yes,M5t,Unable to work for health or other reasons,Female,English,Less than 54 years,54
3126,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,M5T,Employed full-time,Female,English,70-74 years,70
3127,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,Yes,M5T,Retired,Female,English,70-74 years,70
3128,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,Yes,M5T,Retired,Male,English,85 years or older,85
3129,At least once a day,30,Never,0,,1,,,,,,,No,Yes,M5t,Retired,Male,Chinese (Mandarin),70-74 years,70
3130,At least once a day,30,At least once a day,30,1,1,1,1,1,,,,Yes,Yes,M5t,Employed full-time,Female,English,60-64 years,60
3131,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m5t,Retired,Male,English,65-69 years,65
3132,Never,0,At least once a month,1,,,,,,,1,,Yes,Yes,m5t,Employed full-time,Male,English,Less than 54 years,54
3133,,,At least once a month,1,1,,,,,,,,No,Yes,M5T,Employed full-time,,,,
3134,At least once a day,30,At least once a month,1,1,1,,,1,,,,No,Yes,M5T,Employed full-time,Female,Tagalog,70-74 years,70
3135,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,M5T,Retired,Female,Vietnamese,70-74 years,70
3136,At least once a week,4,Never,0,,,,,,,1,,No,Yes,M5T,Unable to work for health or other reasons,Female,English,65-69 years,65
3137,At least a few times each week,8,Never,0,1,,,,,,,,No,,M5T,Retired,Female,English,65-69 years,65
3138,At least once a day,30,At least once a week,4,1,1,,,,,,,Yes,Yes,m5t,Retired,Female,English,70-74 years,70
3139,At least once a day,30,At least a few times a week,8,1,1,,,,,,1,No,Yes,M5T,Retired,Female,English,80-84 years,80
3140,At least a few times each week,8,,,1,1,1,,,,,,No,Yes,m5t,Retired,Female,Chinese (Cantonese),60-64 years,60
3141,At least once a day,30,Never,0,,,1,,1,,,,No,Yes,M5T,Retired,Female,Spanish,55-59 years,55
3142,At least once a day,30,Never,0,1,,1,,,,,,No,No,M5T,Retired,Female,English,70-74 years,70
3143,At least once a day,30,At least once a month,1,1,,,,,,,,No,Yes,M5T,Unable to work for health or other reasons,Female,Chinese (Mandarin),85 years or older,85
3144,At least once a day,30,At least once a month,1,1,1,,,,,,,No,Yes,M5T,Retired,Female,French,65-69 years,65
3145,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,M5T,Retired,Female,English,65-69 years,65
3146,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,Yes,M5T,Retired,Female,English,75-79 years,75
3147,At least once a day,30,At least once a day,30,1,,,,,,,,Yes,Yes,M5T,Retired,Female,Chinese (Cantonese),75-79 years,75
3148,At least once a day,30,At least once a day,30,1,1,,,,,,1,No,Yes,m5t,Retired,Female,English,80-84 years,80
3149,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M5V,Employed full-time,Female,English,55-59 years,55
3150,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M5V,Retired,Female,English,70-74 years,70
3151,At least once a day,30,Never,0,1,,,,,,,,No,Yes,m5v,Employed part-time,Female,English,75-79 years,75
3152,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M5V,Employed full-time,Female,English,55-59 years,55
3153,At least once a day,30,At least once a day,30,,1,1,1,,,,,No,Yes,M5v,Employed full-time,Female,English,Less than 54 years,54
3154,At least once a day,30,At least once a week,4,,,,,,,,,No,Yes,M5v,Retired,Female,English,65-69 years,65
3155,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,Yes,M5V,Retired,Female,English,65-69 years,65
3156,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M5V,Retired,Female,English,70-74 years,70
3157,At least a few times each week,8,Never,0,1,1,,,,,,,No,Yes,m5v,Employed full-time,Female,English,55-59 years,55
3158,At least a few times each week,8,Never,0,1,1,1,1,,,,,No,No,M5v,Retired,Male,English,75-79 years,75
3159,At least once a day,30,At least a few times a week,8,1,1,1,,1,,,,Yes,No,M5v,"Unemployed, looking for work",Female,English,55-59 years,55
3160,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M5V,Retired,Female,English,70-74 years,70
3161,At least once a day,30,At least once a month,1,,1,1,1,,,,,No,Yes,M5V,Retired,Female,English,65-69 years,65
3162,At least once a day,30,At least once a day,30,1,1,,1,,,,1,No,Yes,M5V,Employed full-time,Female,French,60-64 years,60
3163,At least once a day,30,At least once a week,4,1,1,,,1,,,,No,Yes,M5V,"Unemployed, looking for work",Male,English,65-69 years,65
3164,At least once a day,30,At least a few times a week,8,1,,,,,,,,No,Yes,M5V,Retired,Female,English,85 years or older,85
3165,At least once a day,30,At least a few times a week,8,1,1,1,,1,,,,No,Yes,m5v,Retired,Female,,65-69 years,65
3166,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,m5v,Retired,Male,,70-74 years,70
3167,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,m5v,Retired,Female,Chinese (Cantonese),75-79 years,75
3168,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,Yes,Yes,m5v,Employed full-time,Male,,55-59 years,55
3169,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,m5v,Retired,Female,Chinese (Cantonese),75-79 years,75
3170,At least once a day,30,At least once a month,1,1,1,,,,,,,Yes,Yes,m5v,Retired,Female,,65-69 years,65
3171,At least a few times each week,8,At least a few times a week,8,1,1,,,1,,,,No,No,M5V,"Unemployed, looking for work",Female,English,65-69 years,65
3172,At least a few times each week,8,Never,0,1,1,,,,,,,Yes,Yes,m5v,Retired,Female,,65-69 years,65
3173,At least once a day,30,At least once a week,4,1,1,,,,,,,Yes,Yes,m5v,Retired,Female,,70-74 years,70
3174,At least once a week,4,At least once a week,4,1,,,,,,,,No,Yes,m5v,Retired,Male,Punjabi,85 years or older,85
3175,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,M5V,Retired,Female,,70-74 years,70
3176,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M5V,Retired,Male,Chinese (Cantonese),70-74 years,70
3177,At least once a day,30,At least once a month,1,,1,1,1,,,,,No,Yes,M5V ,Retired,Female,English,60-64 years,60
3178,At least once a day,30,At least once a month,1,1,,,,,,,,No,Yes,M5V ,Retired,Female,English,80-84 years,80
3179,At least a few times each week,8,At least once a month,1,,,,,1,,1,1,No,Yes,M5V ,Retired,Female,English,65-69 years,65
3180,At least once a day,30,At least once a month,1,1,1,1,,,,,,Yes,Yes,M6A,Employed part-time,Female,English,Less than 54 years,54
3181,At least once a week,4,At least once a week,4,,,1,,,,,1,,Yes,M6A,Retired,Female,English,75-79 years,75
3182,At least a few times each week,8,Never,0,1,1,,,,,,,No,Yes,M6A,Employed part-time,Female,English,60-64 years,60
3183,At least once a day,30,At least a few times a week,8,1,,1,,1,,,,No,Yes,M6A,Retired,Female,English,70-74 years,70
3184,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,No,Yes,m6a,Retired,Female,English,70-74 years,70
3185,At least a few times each week,8,At least once a month,1,1,1,,,,,,,Yes,Yes,M6A,Retired,,Chinese (Cantonese),70-74 years,70
3186,At least once a week,4,Never,0,1,1,,,,,,,No,Yes,M6A,Retired,Male,English,70-74 years,70
3187,At least once a day,30,At least once a month,1,,,,,,,1,,Yes,Yes,m6a,Employed full-time,Female,Other,60-64 years,60
3188,At least once a day,30,Never,0,,,,,,,1,,Yes,No,M6A,Unable to work for health or other reasons,Female,English,65-69 years,65
3189,At least once a day,30,At least once a week,4,,,,,,,1,,No,Yes,M6A,Retired,Female,,85 years or older,85
3190,At least once a day,30,At least once a month,1,,,,,,,1,,No,No,M6A,Unable to work for health or other reasons,Female,,,
3191,At least once a day,30,At least once a month,1,,,,,,,1,,No,Yes,M6A,Retired,Female,English,85 years or older,85
3192,At least once a week,4,At least once a month,1,1,,,,,,1,1,No,Yes,M6A,Retired,Female,English,70-74 years,70
3193,At least a few times each week,8,Never,0,1,,1,,,,,,No,Yes,M6A,Employed full-time,Female,English,60-64 years,60
3194,At least a few times each week,8,At least once a month,1,,,,,,,,,No,Yes,M6A,Retired,Female,,70-74 years,70
3195,At least a few times each week,8,Never,0,1,1,,,,,,,,Yes,M6A,Retired,Female,Chinese (Cantonese),65-69 years,65
3196,At least once a month,1,Never,0,1,,,,,,,,Yes,Yes,m6a,"Unemployed, looking for work",Male,Spanish,55-59 years,55
3197,At least a few times each week,8,At least once a day,30,,,,,,,1,,Yes,Yes,m6a,"Unemployed, looking for work",Female,Russian,55-59 years,55
3198,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,m6a,Retired,Male,,75-79 years,75
3199,At least once a day,30,At least once a day,30,,,,,,,1,,Yes,Yes,M6A,"Unemployed, looking for work",Female,Russian,55-59 years,55
3200,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M6A,Retired,Male,English,75-79 years,75
3201,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,No,Yes,M6A ,Retired,Female,English,70-74 years,70
3202,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M6B,Retired,Female,English,70-74 years,70
3203,At least a few times each week,8,Never,0,,1,1,,,,,1,No,Yes,m6b,Employed full-time,Female,,60-64 years,60
3204,At least once a week,4,At least once a week,4,1,,1,,,,,,No,Yes,M6B,Retired,Female,English,80-84 years,80
3205,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,M6B,Retired,Male,English,70-74 years,70
3206,At least once a day,30,At least once a week,4,,1,,,,,,,Yes,No,M6B,"Unemployed, looking for work",Female,English,55-59 years,55
3207,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,No,Yes,M6b,Retired,Female,English,70-74 years,70
3208,At least once a week,4,At least once a month,1,1,,1,,,,,,No,Yes,M6B,Employed full-time,,English,55-59 years,55
3209,At least once a week,4,At least once a week,4,1,,1,,,,,,No,Yes,M6B,Retired,Female,English,80-84 years,80
3210,At least a few times each week,8,At least once a month,1,1,1,1,,,,,1,No,Yes,M6B,Retired,Female,Italian,75-79 years,75
3211,At least once a day,30,At least a few times a week,8,1,,,,1,,,1,No,Yes,M6B,Retired,Female,English,65-69 years,65
3212,At least once a day,30,At least once a week,4,1,,,,,,,,Yes,Yes,M6B,Employed full-time,,English,Less than 54 years,54
3213,At least once a week,4,Never,0,1,,,,,,,,Yes,Yes,M6B,Employed part-time,Male,English,65-69 years,65
3214,At least once a week,4,Never,0,1,,1,,,,,,Yes,Yes,m6b,Employed full-time,Female,Tamil,60-64 years,60
3215,At least a few times each week,8,At least once a day,30,,,,,,,1,,Yes,Yes,m6b,Retired,Male,Other,75-79 years,75
3216,At least a few times each week,8,At least once a month,1,1,,,,,,,1,No,Yes,M6B,Retired,Female,English,60-64 years,60
3217,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M6B,Retired,,Farsi,60-64 years,60
3218,At least once a day,30,Never,0,,,1,,,,,,No,Yes,m6b,,Male,,85 years or older,85
3219,Never,0,Never,0,1,,,,,,,,No,Yes,m6b,Retired,Female,Spanish,80-84 years,80
3220,At least once a day,30,At least once a month,1,,,,,,,1,,No,Yes,m6b,Retired,Female,English,85 years or older,85
3221,At least a few times each week,8,Never,0,,,,,,1,,,,Yes,M6B,Retired,Female,,80-84 years,80
3222,At least once a day,30,At least a few times a week,8,,,1,,,,,,Yes,Yes,M6B,Retired,Female,English,60-64 years,60
3223,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,M6B,Retired,Female,English,65-69 years,65
3224,At least once a day,30,,,,,1,,,,,,,Yes,M6B,Retired,Female,English,65-69 years,65
3225,At least once a day,30,At least a few times a week,8,1,,,,1,,1,,,Yes,M6B,Unable to work for health or other reasons,Female,English,Less than 54 years,54
3226,Never,0,Never,0,,,,,,,1,,Yes,Yes,M6B,Unable to work for health or other reasons,Female,,85 years or older,85
3227,At least once a day,30,Never,0,1,,,,,,,1,No,No,m6b,Retired,Female,Italian,70-74 years,70
3228,At least once a day,30,At least a few times a week,8,1,,,,,,,,No,Yes,m6b,Retired,Female,,,
3229,,,At least a few times a week,8,,,,,,,1,,Yes,Yes,M6B,Retired,Female,Polish,75-79 years,75
3230,At least a few times each week,8,Never,0,1,1,,,,,1,,No,Yes,M6B,Retired,Female,Other,70-74 years,70
3231,,,At least once a week,4,,,,,,,1,,Yes,Yes,M6B,Retired,Female,Polish,75-79 years,75
3232,At least a few times each week,8,At least a few times a week,8,1,,,,,,1,1,No,Yes,M6B ,Retired,Female,Spanish,75-79 years,75
3233,At least once a day,30,At least a few times a week,8,,,,,,,1,,No,No,M6B ,Retired,Female,Other,75-79 years,75
3234,At least a few times each week,8,Never,0,1,,,,1,,1,,No,Yes,M6b,Retired,Female,Urdu,65-69 years,65
3235,At least a few times each week,8,At least once a week,4,1,1,1,1,,,,,No,Yes,M6C,"Unemployed, looking for work",Female,English,55-59 years,55
3236,At least a few times each week,8,At least a few times a week,8,,1,1,,,,,,Yes,Yes,M6C,Employed full-time,Female,English,55-59 years,55
3237,At least once a day,30,Never,0,,1,1,,,,,,No,Yes,m6c,Employed full-time,Female,English,55-59 years,55
3238,At least a few times each week,8,At least a few times a week,8,1,,1,,,,,,No,Yes,m6c,Employed full-time,Female,English,60-64 years,60
3239,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,M6C,Retired,Female,English,65-69 years,65
3240,At least once a day,30,,,1,1,,,,,,,No,No,M6C,Employed full-time,Male,English,55-59 years,55
3241,At least a few times each week,8,At least a few times a week,8,,,1,1,,,,,No,Yes,M6C,Employed part-time,Female,English,65-69 years,65
3242,At least once a day,30,At least once a day,30,,,1,,,,,,No,Yes,M6C,Retired,Female,English,60-64 years,60
3243,At least a few times each week,8,Never,0,1,1,,,1,,,1,No,No,M6C,Retired,Male,English,70-74 years,70
3244,At least a few times each week,8,At least a few times a week,8,1,,1,,,,,,No,Yes,m6c,Employed full-time,Female,English,60-64 years,60
3245,At least once a day,30,Never,0,,,1,,,,,,No,No,m6c,Retired,Female,English,70-74 years,70
3246,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,Yes,No,M6C,"Unemployed, looking for work",Female,English,55-59 years,55
3247,At least once a day,30,Never,0,1,1,,,,,,,Yes,No,M6c,,Female,English,Less than 54 years,54
3248,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,Yes,M6C,Employed part-time,Female,English,65-69 years,65
3249,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,Yes,M6C,Retired,Female,English,65-69 years,65
3250,At least once a day,30,Never,0,1,1,,,,,,,Yes,Yes,M6C,Retired,Female,English,70-74 years,70
3251,At least a few times each week,8,At least once a month,1,1,,1,,,,,,No,Yes,M6C,"Unemployed, looking for work",Female,English,55-59 years,55
3252,At least once a day,30,Never,0,1,1,1,1,1,,,1,No,Yes,M6C,Employed part-time,Female,English,65-69 years,65
3253,At least once a day,30,At least once a week,4,1,1,1,,,,,,No,Yes,M6C,Retired,Female,English,60-64 years,60
3254,At least once a day,30,Never,0,,,1,,,,,,No,Yes,m6c,Retired,Male,English,65-69 years,65
3255,At least once a day,30,At least a few times a week,8,1,,,,,,,,No,Yes,M6c,Employed full-time,Female,English,60-64 years,60
3256,At least a few times each week,8,Never,0,,,1,,,,,,No,No,M6C,Retired,Female,English,65-69 years,65
3257,At least once a day,30,Never,0,,1,1,,,,,1,No,Yes,M6C,Retired,Female,English,65-69 years,65
3258,At least once a week,4,Never,0,1,1,1,,,,,,No,Yes,M6C,Retired,Female,English,70-74 years,70
3259,At least once a day,30,Never,0,1,1,,,,,,,No,,m6c,Employed full-time,Female,English,70-74 years,70
3260,At least once a day,30,Never,0,1,,,,,,,,No,Yes,m6c,Retired,Male,English,70-74 years,70
3261,At least once a day,30,At least a few times a week,8,1,,,,,,,,No,Yes,M6C,Employed full-time,Female,English,55-59 years,55
3262,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M6C,Employed part-time,Female,English,60-64 years,60
3263,At least once a week,4,At least once a day,30,,1,1,,,,,,No,Yes,M6C,Retired,Female,English,65-69 years,65
3264,At least once a day,30,Never,0,,1,1,,,,,,No,Yes,M6C,Retired,Female,English,60-64 years,60
3265,At least once a week,4,Never,0,1,1,,,,,,,No,Yes,M6C,Retired,Male,Other,70-74 years,70
3266,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M6C,Employed part-time,Female,English,70-74 years,70
3267,At least a few times each week,8,At least a few times a week,8,1,,1,,,,,,No,Yes,M6C,Retired,Female,English,80-84 years,80
3268,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,Yes,Yes,m6c,Retired,Female,,70-74 years,70
3269,At least a few times each week,8,At least once a week,4,1,1,,,,,1,1,No,Yes,m6c,Retired,Female,English,70-74 years,70
3270,At least once a day,30,At least once a month,1,1,1,,,,1,,,Yes,Yes,M6C,Retired,Female,English,65-69 years,65
3271,At least once a week,4,Never,0,1,,,,,,,,No,Yes,M6C,Retired,Female,Portuguese,75-79 years,75
3272,At least once a day,30,At least once a day,30,,,1,,,,,,No,Yes,M6C,Retired,Female,English,65-69 years,65
3273,At least a few times each week,8,At least once a day,30,1,,,,,,1,,Yes,Yes,m6c,Unable to work for health or other reasons,Female,English,65-69 years,65
3274,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,m6c,Employed full-time,Female,English,80-84 years,80
3275,At least a few times each week,8,Never,0,1,,,,,,,,Yes,Yes,m6c,Retired,Female,English,65-69 years,65
3276,At least once a day,30,At least a few times a week,8,1,1,1,,,,,,No,Yes,m6c,Retired,,English,70-74 years,70
3277,At least a few times each week,8,At least once a week,4,1,1,,,,,,1,No,No,M6C,Retired,Female,Portuguese,75-79 years,75
3278,At least a few times each week,8,At least a few times a week,8,,1,1,,,,,,No,Yes,M6C,Retired,Female,Italian,80-84 years,80
3279,At least once a day,30,At least once a week,4,1,1,,,,,,1,Yes,No,M6C,Retired,Female,English,70-74 years,70
3280,At least a few times each week,8,Never,0,,,,,,,1,,Yes,Yes,M6C,Retired,Female,English,85 years or older,85
3281,At least once a day,30,At least a few times a week,8,1,1,1,,,,,,Yes,Yes,M6C,Retired,Female,English,70-74 years,70
3282,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,m6c,Retired,Male,English,75-79 years,75
3283,At least once a day,30,At least a few times a week,8,1,1,1,,,,,,No,Yes,M6C,Retired,Female,English,70-74 years,70
3284,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m6c,Retired,Male,English,75-79 years,75
3285,At least a few times each week,8,Never,0,1,,,,,,1,,Yes,Yes,m6c,Retired,Male,Spanish,80-84 years,80
3286,At least once a week,4,At least once a day,30,1,,1,,,,1,,No,Yes,m6c,Retired,Female,English,60-64 years,60
3287,At least a few times each week,8,At least once a week,4,1,,,,,,,,No,Yes,m6c,Retired,Male,Spanish,85 years or older,85
3288,At least a few times each week,8,Never,0,,1,,,,,,,No,Yes,m6c,Retired,Female,Spanish,85 years or older,85
3289,At least a few times each week,8,Never,0,1,,,,,,,,Yes,Yes,m6c,Retired,Male,Spanish,70-74 years,70
3290,At least once a day,30,Never,0,,,,,,,1,1,Yes,Yes,m6c,Retired,Male,Spanish,85 years or older,85
3291,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,m6c,Retired,Female,English,65-69 years,65
3292,At least once a day,30,Never,0,1,1,1,1,,,,,,,M6C,Employed part-time,Female,English,60-64 years,60
3293,At least a few times each week,8,At least once a day,30,,,1,,,,,,No,Yes,M6C,Retired,Female,Korean,65-69 years,65
3294,At least a few times each week,8,Never,0,,,,,,1,,,,Yes,M6C,Retired,Female,English,70-74 years,70
3295,Never,0,Never,0,,,,,,,1,,Yes,Yes,m6C,Unable to work for health or other reasons,Female,,55-59 years,55
3296,At least once a week,4,At least once a day,30,,,1,,,,1,,,Yes,M6C,Retired,Female,English,60-64 years,60
3297,Never,0,At least once a month,1,,,1,,,,1,,No,Yes,m6c,Retired,Female,,80-84 years,80
3298,At least a few times each week,8,At least once a week,4,1,1,,,,,,,Yes,No,m6c,"Unemployed, looking for work",Female,,55-59 years,55
3299,At least once a day,30,Never,0,1,1,,1,,,,,No,Yes,M6C,Retired,,English,70-74 years,70
3300,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m6c,Retired,Female,,70-74 years,70
3301,At least once a day,30,At least once a day,30,1,1,,,,,,,No,Yes,m6c,Employed part-time,Male,,65-69 years,65
3302,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m6c,,Female,Polish,65-69 years,65
3303,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,m6c,Retired,Male,,75-79 years,75
3304,At least a few times each week,8,Never,0,1,,,,,,,,No,,m6c,Employed full-time,Female,,Less than 54 years,54
3305,At least a few times each week,8,,,1,1,1,,,,,,No,Yes,m6c,Retired,Female,,70-74 years,70
3306,At least a few times each week,8,Never,0,1,1,,,,,,,No,Yes,m6c,Retired,Female,Polish,80-84 years,80
3307,At least once a week,4,Never,0,1,1,,,,,,,No,No,m6c,Employed part-time,,,60-64 years,60
3308,At least a few times each week,8,At least a few times a week,8,1,1,1,,,,,,No,Yes,m6c,Retired,Male,,60-64 years,60
3309,At least once a day,30,Never,0,1,1,,,,,,1,No,No,M6C,Retired,Female,English,70-74 years,70
3310,At least once a month,1,At least once a month,1,1,,,,,,,,No,Yes,m6c,Retired,Female,Spanish,80-84 years,80
3311,At least a few times each week,8,At least a few times a week,8,1,,1,,,,,,Yes,Yes,m6c,"Unemployed, looking for work",Female,Polish,Less than 54 years,54
3312,At least once a day,30,At least once a month,1,1,1,,,,,,,No,Yes,m6c,Retired,Female,,80-84 years,80
3313,At least once a week,4,At least once a month,1,,,1,,,,,,No,No,m6c,Retired,Female,Portuguese,70-74 years,70
3314,At least once a day,30,At least once a week,4,1,1,,,,,,,,Yes,M6C,Retired,Female,,75-79 years,75
3315,At least once a week,4,Never,0,1,,,,1,1,,,No,Yes,M6C,Retired,Female,,65-69 years,65
3316,At least once a day,30,Never,0,1,,,,,,,,No,Yes,M6C,Employed part-time,Male,English,55-59 years,55
3317,Never,0,Never,0,1,,,,,,,,No,Yes,M6C,Retired,Female,Spanish,70-74 years,70
3318,At least once a day,30,At least once a week,4,1,1,1,,,,,,No,Yes,M6C,Retired,Male,English,75-79 years,75
3319,At least once a day,30,At least once a day,30,1,1,,,1,,,,No,Yes,M6C,Retired,Female,Spanish,70-74 years,70
3320,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M6C ,"Unemployed, looking for work",Male,English,65-69 years,65
3321,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,M6C ,Retired,Female,English,65-69 years,65
3322,At least once a day,30,At least once a month,1,1,1,,,,,,,No,Yes,M6C ,Retired,Female,English,80-84 years,80
3323,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,M6E,Retired,Female,English,60-64 years,60
3324,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M6E,Employed full-time,Female,English,60-64 years,60
3325,At least a few times each week,8,Never,0,,1,,,,,,,No,No,M6E,Retired,Female,English,85 years or older,85
3326,At least once a week,4,At least once a month,1,1,1,,,,,,,,Yes,M6E,Unable to work for health or other reasons,Female,English,60-64 years,60
3327,At least once a day,30,At least once a day,30,1,1,,1,,,,,No,Yes,M6E,Retired,Male,English,65-69 years,65
3328,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,M6E,Employed full-time,Female,English,Less than 54 years,54
3329,At least a few times each week,8,At least once a week,4,,,1,,,,,,Yes,Yes,M6E,Employed full-time,Male,English,Less than 54 years,54
3330,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,Yes,M6E,Employed part-time,Female,English,55-59 years,55
3331,At least once a day,30,At least once a month,1,1,1,,,,,,,No,Yes,m6e,Retired,Male,English,60-64 years,60
3332,Never,0,Never,0,,,,,,,,1,No,Yes,M6E,Retired,Female,English,70-74 years,70
3333,At least once a day,30,Never,0,,1,1,1,,,,,No,Yes,m6e,Employed full-time,Other,Other,Less than 54 years,54
3334,At least once a day,30,At least once a week,4,1,1,,,,,,,Yes,Yes,M6E,Retired,Female,English,70-74 years,70
3335,At least once a day,30,Never,0,,1,1,,,,,,No,Yes,M6e,Retired,Female,English,60-64 years,60
3336,At least once a week,4,Never,0,,,1,,,,,,No,No,M6E,Retired,Female,English,60-64 years,60
3337,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M6E,Retired,Female,English,60-64 years,60
3338,Never,0,Never,0,,,,,,,,1,No,Yes,m6e,Unable to work for health or other reasons,Female,Italian,75-79 years,75
3339,At least once a week,4,At least once a month,1,,,,,1,,1,1,No,No,M6E,Retired,Female,English,80-84 years,80
3340,At least a few times each week,8,At least once a week,4,1,1,,,,,,,No,No,M6E,Retired,Female,English,75-79 years,75
3341,At least once a day,30,At least once a week,4,1,1,,,1,,,,No,No,M6E,Retired,Female,English,80-84 years,80
3342,At least once a week,4,At least once a month,1,,,,,,,1,,No,Yes,M6E,Retired,Female,Italian,75-79 years,75
3343,At least once a month,1,At least once a week,4,,,1,,,,,1,No,No,M6E,Retired,Female,English,60-64 years,60
3344,At least once a week,4,At least once a week,4,1,,1,,,,,,No,Yes,M6E,Retired,Female,English,65-69 years,65
3345,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M6E,Retired,Female,English,65-69 years,65
3346,At least once a week,4,Never,0,1,,,,,,,,No,No,m6e,Retired,Female,Spanish,80-84 years,80
3347,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,m6e,Retired,Female,Spanish,70-74 years,70
3348,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M6E,Retired,Male,English,80-84 years,80
3349,At least a few times each week,8,Never,0,1,1,,,,,,,No,No,m6e,Employed part-time,Female,English,65-69 years,65
3350,At least once a month,1,Never,0,,,1,,,,,,No,Yes,m6e,Retired,Transgender,,80-84 years,80
3351,Never,0,At least once a month,1,,,1,,,,,,Yes,,m6e,Retired,Female,,65-69 years,65
3352,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,Yes,Yes,m6e,Unable to work for health or other reasons,Female,,55-59 years,55
3353,At least once a day,30,At least a few times a week,8,1,1,,,,,,1,No,Yes,m6e,Retired,Female,,75-79 years,75
3354,At least once a day,30,Never,0,,,1,,,,,,No,Yes,m6e,Retired,Female,,75-79 years,75
3355,Never,0,,,1,,,,,,,,,,m6e,Retired,,,75-79 years,75
3356,Never,0,Never,0,1,,,,,,,,No,,m6e,Retired,Female,,75-79 years,75
3357,Never,0,At least once a week,4,,,1,,,,,,No,Yes,M6E,Employed full-time,Male,Prefer not to answer,Less than 54 years,54
3358,At least a few times each week,8,Never,0,,1,1,,,,,,No,No,m6e,Employed part-time,Male,,60-64 years,60
3359,At least once a day,30,At least once a week,4,1,1,1,,,,,,,Yes,M6E,Retired,Female,,60-64 years,60
3360,At least once a day,30,At least once a month,1,1,,1,,,,,,Yes,Yes,M6E,Retired,Female,,55-59 years,55
3361,At least once a day,30,At least once a week,4,,,,,,,,1,No,Yes,M6E,Retired,Female,,70-74 years,70
3362,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,Yes,Yes,M6E,Retired,Male,Spanish,65-69 years,65
3363,At least once a week,4,At least once a month,1,1,,,,,,,,Yes,No,M6E,Retired,Female,Spanish,80-84 years,80
3364,At least once a day,30,At least once a day,30,,,1,,,,,,No,Yes,M6E,Retired,Male,Spanish,75-79 years,75
